Benefits,[Income] IncomeShield Plan P*,[Income] Enhanced IncomeShield Preferred,[AIA] HealthShield Gold Max A,[Great Eastern] GREAT SupremeHealth A*,[Great Eastern] GREAT SupremeHealth P PLUS,[Prudential] PRUShield Premier,[Singlife] Singlife Shield Plan 1,[Singlife] Singlife Shield Starter,[HSBC Life] HSBC Life Shield Plan A,[Raffles Health Insurance] Raffles Shield Private
Additional Benefits Limits (Cont'd),,,,,,,,,,
Congenital Abnormalities Benefit of Insured,"10,000/yr [ w   i t h   2  4   m   t h  s  w   a  i t i n  g period]",As Charged [ w   i t h   1  2  mths waiting period],As Charged,Covered under existing inpatient / day surgery limits,As Charged,As Charged,As Charged (with 12 mths waiting period),-,As Charged (after a waiting period of 365 days),As Charged (with 24 mths waiting period)
Congenital Abnormalities Benefit of Insured's Biological Child,-,-,"[Only for female insured] 20,000/ lifetime Limited to 5,000/child (with 10 mths waiting period)",-,"20,000 / lifetime Limited to 5,000 / child (with 300 days waiting period)","[Only for female insured] 20,000/ lifetime Limited to 5,000/ child (with 10 mths waiting period)",-,-,-,"[Only for female insured] 30,000/ lifetime Limited to 5,000/ child (with 10 mths waiting period)"
Prosthesis Benefit,"10,000/yr","10,000/yr",-,-,-,-,-,-,-,-
Critical Illnesses,-,-,"Additional 100,000 policy yr limit (for 30 Critical Illnesses) (Note (5))",-,-,-,"Additional 150,000/yr (for 5 Critical Illnesses) (See Note (5))",-,-,-
Emergency overseas treatment,Covered under Inpatient and Day surgery limits,As Charged (But limited to costs of Singapore private hospitals),Reimburse the Eligible Expenses incurred for overseas medical or surgical treatment subject to the applicable claim limits of AIA HealthShield Gold Max A. Benefit payable shall be limited to the level of Reasonable and Customary charges in a Singapore Private Hospital,"Reimburse the actual Expenses incurred overseas or the Reasonable and Customary Charges applicable in a Private Hospital, whichever is the lower, subject to the benefit limits of GREAT SupremeHealth A.","Reimburse the actual Expenses incurred overseas or the Reasonable and Customary Charges applicable in a Private Hospital, whichever is the lower, subject to the benefit limits of GREAT SupremeHealth P PLUS.",As Charged (paying the lower of: - the overseas charges; or - in accordance with a Singapore Private Hospital’s charges),As Charged (pegged to costs of private hospitals in Singapore),-,As Charged (pegged to Reasonable and Customary charges of Singapore Private Hospitals),As Charged (limited to Panel charges and subject to Pro-ration factor)
Planned overseas treatment,-,-,As Charged (pegged to costs of private hospitals in Singapore) [Note (6)],-,-,As Charged (pegged to costs of private hospitals in Singapore) (Note (6)),-,-,-,
Final Expense Benefit (Note (9)),"5,000","5,000","5,000","6,000","7,000","5,000","10,000",-,-,"5,000"
Free new-born benefit (Note (10)),-,-,-,-,-,-,"50,000/yr",-,-,-
Proton Beam Therapy Treatment (Categories 1 4),"Categories 1, 2, and 3 are covered under Radiotherapy for Cancer limits. Category 4 is covered under Radiosurgery limit.","100,000/yr [Note (16a and 16b)]","100,000/yr [Note (16a)]","40,000/yr [Note (16a and 16b)]","80,000/yr [Note (16a and 16b)]","100,000/yr [Note (16a)]","70,000/yr [Note (16a)]","Categories 1, 2, and 3 are covered under Radiotherapy for Cancer limits. Category 4 is covered under Radiosurgery limit.","50,000/yr [Note (16a)]","75,000/yr [Note (16a and 16b)]"
"Cell, Tissue and Gene Therapy",-,"250,000/yr","250,000/yr","100,000/yr","200,000/yr","250,000/yr","150,000/yr",-,"100,000/yr","50,000/yr"
Waiver of Premium upon Total Permanent Disability,-,-,Waives 1 yr premium for insured,-,-,-,-,-,-,"In the event of Death/TPD of the parent (payor), premium will be wavied for the Insured until he/she reaches age 21."
