"Comparison of Integrated Shield Plan Premiums for Singapore Citizen (SC) and Permanent Resident (PR) Policyholder (Rounded to nearest $, inclusive of GST)",Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,[Income] IncomeShield Plan A*,[Income] Enhanced IncomeShield Advantage,,,,
Age Next Birthday:,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years,IP Premium (incl. MSHL),IP Premium (excl. MSHL),Annual change in IP premium (excl. MSHL) over last 3 years
1 to 20,204 - 223,56 - 75,3.8%,189 - 212,41 - 64,12.2% to 13.3%
21 to 30,310,55,3.9%,313,58,9.6%
31 to 40,480 - 487,83 - 90,3.9% to 4.0%,497 - 522,100 - 125,5.6% to 6.4%
41 to 50,709 - 722,174 - 187,3.8% to 3.9%,758 - 786,223 - 251,3.5% to 5.8%
51 to 60,"1,074 - 1,093",259 - 278,3.9%,"1,209 - 1,251",394 - 436,5.7% to 5.8%
61 to 65,"1,488",449,3.8%,"1,741",702,6.0%
66 to 70,"1,842",721,3.9%,"2,196","1,075",6.0%
71 to 73,"2,242","1,025",3.9%,"2,750","1,533",6.0%
74 to 75,"2,570","1,225",3.9%,"3,152","1,807",5.7%
76 to 78,"3,064","1,505",3.9%,"3,759","2,200",5.7%
79 to 80,"3,345","1,725",3.9%,"4,215","2,595",6.3%
81 to 83,"3,285","1,579",3.9%,"4,344","2,638",5.7%
84 to 85,"3,873","1,902",3.9%,"4,983","3,012",5.7%
86 to 90,"4,408 - 4,718","2,345 - 2,655",3.9%,"5,530 - 5,771","3,467 - 3,708",5.7% to 6.9%
Premiums above age 90,"5,105 - 6,281","3,012 - 4,188",3.9%,"6,196 - 7,960","4,103 - 5,867",5.7%
