Benefits,Standard IP
Inpatient and Day Surgery:,
Daily Ward and Treatment Charges,
- Normal Ward [Note (5)],"2,250/day^"
- Intensive Care Unit Ward,"6,850/day^"
,^ An additional claim limit of $300 per day applies for the first two inpatient days
- Psychiatric,680/day (up to 60 days per policy yr)
- Community Hospital (Rehabilitative),760/day
- Community Hospital (Sub-acute),960/day
- Inpatient Palliative Care Service (General),560/day
- Inpatient Palliative Care Service (Specialised),760/day
Surgical Procedures,"590 - 21,840"
Implants,"9,800/treatment"
"Radiosurgery, including Proton Beam Therapy - Category 4 [Note (4)]","31,300/treatment course"
Continuation of Autologous Bone Marrow Transplant Treatment for Multiple Myeloma [Note (3)],"14,040/treatment"
Outpatient Treatment:,
Patients receiving treatment for one primary cancer,
- Cancer Drug Treatment,3x MediShield Life limit/mth* (* Refer to the Cancer Drug List on the MOH website for the applicable MediShield Life claim limit)
- Cancer Drug Services,"2x MediShield Life limit for one primary cancer (7,200/yr)"
Patients receiving treatment for multiple primary cancers,
- Cancer Drug Treatment,Sum of the highest cancer drug treatment limit amongst the claimable treatments received for each primary cancer per month* (* Refer to the Cancer Drug List on the MOH website for the applicable MediShield Life claim limit)
- Cancer Drug Services,"2x MediShield Life limit for multiple primary cancers (14,400/yr)"
Radiotherapy for Cancer,
- External (Except Hemi-Body),880/treatment
- Brachytherapy,"1,100/treatment"
- Hemi-Body,"2,510/treatment"
- Stereotactic,"6,210/treatment"
- Proton Beam Therapy - Category 1 [Note (4)],880/treatment
- Proton Beam Therapy - Category 2 [Note (4)],"1,100/treatment"
- Proton Beam Therapy - Category 3 [Note (4)],"6,210/treatment"
Kidney Dialysis,"3,740/mth"
Immunosuppressants for Organ Transplants,"1,480/mth"
Erythropoietin for Chronic Kidney Failure,450/mth
Long-term Parenteral Nutrition,"3,980/mth"
