section,benefit,notes,[Income] IncomeShield Plan A*,[Income] Enhanced IncomeShield Advantage,[AIA] HealthShield Gold Max B,[Great Eastern] GREAT SupremeHealth A PLUS,[Prudential] PRUShield A*,[Prudential] PRUShield Plus,[Singlife] Singlife Shield Plan 2,[HSBC Life] HSBC Life Shield Plan B,[Raffles Health Insurance] Raffles Shield A,source_pdf,source_slug,source_page,source_table,repair_flags
Age Next Birthday:,1 to 20,,204 - 223,189 - 212,252,219 - 233,216,216 - 223,235,227,222 - 227,04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,21 to 30,,310,313,366,340 - 359,323,314,356,346,346,04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,31 to 40,,480 - 487,497 - 522,568,505 - 535,490,485 - 511,568,556,511 - 525,04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,41 to 50,,709 - 722,758 - 786,869,734 - 782,706,685 - 719,853 - 881,768 - 853,756 - 760,04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,51 to 60,,"1,074 - 1,093","1,209 - 1,251","1,284 - 1,325","1,107 - 1,343","1,070 - 1,084","1,044 - 1,076","1,292 - 1,318","1,234 - 1,292","1,171 - 1,197",04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,61 to 65,,"1,488","1,741","1,783","1,604 - 1,853","1,520","1,386 - 1,472","1,827","1,719","1,655",04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,66 to 70,,"1,842","2,196","2,510","2,029 - 2,459","1,927","1,822 - 1,909","2,362","2,085","2,085",04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,71 to 73,,"2,242","2,750","3,138","2,679 - 2,877","2,522","2,323","3,057","2,519","2,632",04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,74 to 75,,"2,570","3,152","3,422","3,114 - 3,232","2,877","2,619 - 2,788","3,491","2,934","3,041",04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,76 to 78,,"3,064","3,759","4,515","3,570 - 3,843","3,815","3,293 - 3,584","4,346","3,338","3,521",04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,79 to 80,,"3,345","4,215","4,588","4,056 - 4,222","3,789","3,673","4,643","3,613","4,016",04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,81 to 83,,"3,285","4,344","4,730","4,398 - 4,590","3,621","3,975","5,500","3,940","4,321",04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,84 to 85,,"3,873","4,983","5,072","4,955 - 5,059","4,188","4,603","5,828","4,471","4,874",04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,86 to 90,,"4,408 - 4,718","5,530 - 5,771","5,268 - 5,442","5,259 - 5,728","4,470","4,887","6,652 - 6,763","4,863 - 5,198","5,362 - 5,579",04_class_a_plans.pdf,class_a_plans,6,1,
Age Next Birthday:,Premiums above age 90,,"5,105 - 6,281","6,196 - 7,960","5,758 - 6,853","5,887 - 7,258","6,184 - 6,853","5,013 - 5,920","6,837 - 7,205","6,622 - 7,027","5,883 - 6,800",04_class_a_plans.pdf,class_a_plans,6,1,
