section,benefit,notes,[Income] IncomeShield Plan A*,[Income] Enhanced IncomeShield Advantage,[AIA] HealthShield Gold Max B,[Great Eastern] GREAT SupremeHealth A PLUS,[Prudential] PRUShield A*,[Prudential] PRUShield Plus,[Singlife] Singlife Shield Plan 2,[HSBC Life] HSBC Life Shield Plan B,[Raffles Health Insurance] Raffles Shield A,source_pdf,source_slug,source_page,source_table,repair_flags
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Normal Ward [Note (17)],,"1,200/day",As Charged,As Charged,As Charged,900/day,As Charged,As Charged,As Charged,As Charged,04_class_a_plans.pdf,class_a_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Intensive Care Unit Ward,,"1,700/day","1,400/day",As Charged,As Charged,900/day,As Charged,As Charged,As Charged,As Charged,04_class_a_plans.pdf,class_a_plans,1,1,forward_fill_from_previous:[AIA] HealthShield Gold Max B|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A PLUS|forward_fill_from_previous:[Prudential] PRUShield A*|forward_fill_from_previous:[Prudential] PRUShield Plus|forward_fill_from_previous:[Singlife] Singlife Shield Plan 2|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan B|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield A
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Psychiatric,,"10,000/yr","10,000/yr","4,000/yr (Additional post-hospitalisation psychiatric treatment of 2,500/yr within 200 days after Confinement)","4,500/yr (Including post hospitalisation benefits) [Note (16)]",-,"7,000/yr (including pre & post hospitalisation benefits)",(i) As Charged (up to 45 days) [with 10 mth waiting period] (ii) $500/day (up to 35 days) [without waiting period],"Up to $4,000, capped at 60 days per policy year (Additional Post-Hospitalisation Psychiatric Treatment of $2,500 per policy year, within 200 days after Hospital discharge)","6,000/yr (Includes post hospitalisation psychiatric treatment up to 90 days)",04_class_a_plans.pdf,class_a_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Community Hospital,,"1,200/day (up to 45 days for each admission)",As Charged (up to 90 days for each admission),As Charged,"Sub-acute Care Public hospitals: As-charged Private hospitals: 1,100/day Rehabilitation Care Public hospitals: As-charged Private hospitals: 900/day",900/day,As Charged,As Charged,As Charged (up to 45 days),As Charged (up to 45 days),04_class_a_plans.pdf,class_a_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Inpatient Palliative Care (General),,-,As Charged,As Charged,As Charged,-,As Charged,As Charged,As Charged,560/day,04_class_a_plans.pdf,class_a_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,- Inpatient Palliative Care (Specialised),,760/day,As Charged,As Charged,As Charged,-,As Charged,As Charged,As Charged,560/day,04_class_a_plans.pdf,class_a_plans,1,1,forward_fill_from_previous:[Income] Enhanced IncomeShield Advantage|forward_fill_from_previous:[AIA] HealthShield Gold Max B|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A PLUS|forward_fill_from_previous:[Prudential] PRUShield A*|forward_fill_from_previous:[Prudential] PRUShield Plus|forward_fill_from_previous:[Singlife] Singlife Shield Plan 2|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan B|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield A
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Surgical Procedures,,"600 - 9,400",As Charged,As Charged,As Charged,"800 - 10,000",As Charged,As Charged,As Charged,As Charged,04_class_a_plans.pdf,class_a_plans,1,1,
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Implants,,"11,000/admission","10,000/treatment",As Charged,As Charged,"800 - 10,000",As Charged,As Charged,As Charged,As Charged,04_class_a_plans.pdf,class_a_plans,1,1,forward_fill_from_previous:[AIA] HealthShield Gold Max B|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A PLUS|forward_fill_from_previous:[Prudential] PRUShield A*|forward_fill_from_previous:[Prudential] PRUShield Plus|forward_fill_from_previous:[Singlife] Singlife Shield Plan 2|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan B|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield A
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Radiosurgery,,"12,600/treatment course (includes Proton Beam Therapy - Category 4) [Note (15a and 15b)]","16,000/treatment",As Charged,As Charged,"800 - 10,000",As Charged,As Charged,As Charged,As Charged,04_class_a_plans.pdf,class_a_plans,1,1,forward_fill_from_previous:[AIA] HealthShield Gold Max B|forward_fill_from_previous:[Great Eastern] GREAT SupremeHealth A PLUS|forward_fill_from_previous:[Prudential] PRUShield A*|forward_fill_from_previous:[Prudential] PRUShield Plus|forward_fill_from_previous:[Singlife] Singlife Shield Plan 2|forward_fill_from_previous:[HSBC Life] HSBC Life Shield Plan B|forward_fill_from_previous:[Raffles Health Insurance] Raffles Shield A
Inpatient and Day Surgery: | Daily Ward and Treatment Charges,Continuation of Autologous Bone Marrow Transplant Treatment for Multiple Myeloma [Note (13)],,-,"25,000/yr",As Charged,"25,000/yr",-,"25,000/yr",As Charged,As Charged,"14,040/treatment",04_class_a_plans.pdf,class_a_plans,1,1,
